subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,4,1.0329819135185188,0.13483858339728963
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,5,1.030870869652174,0.10971776275268283
PARTICIPANT_kura-A2_2020-09-16_10h16.41.575.csv,regular,medium,6,0.9969833334,0.13467757716059986
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,0,1.8819317094814811,1.5258534569948048
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,1,1.8699470862307694,2.172827370621741
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,2,1.6342942241111114,1.6776722074146175
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,3,1.2557408083846153,1.0433567606948047
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,4,0.6569054093750001,0.4602548377344515
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,5,0.9330331749999999,0.5962410731925523
PARTICIPANT_kura-A2_2020-09-16_17h20.10.296.csv,regular,medium,6,0.924067375,0.0
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,0,0.9941711538666667,0.06244652612132596
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,1,1.0873269822666667,0.37921280998109325
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,2,0.9788725344333333,0.057073454631537665
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,3,0.9926956930666665,0.06248371429236047
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,4,1.0062234855,0.04336341551343267
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,5,1.0014917149473685,0.045201006453572196
PARTICIPANT_kura-A2_2020-11-04_17h32.29.185.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,0,0.9860239222333332,0.10568183832673107
